YEAR,NUM
1993,8
1994,52
1995,41
1996,56
1997,86
1998,71
1999,148
2000,312
2001,586
2002,1141
2003,1282
2004,1898
2005,1382
2006,2026
2007,2551
2008,2801
2009,2914
2010,2401
2011,2706
2012,1502
2013,1514
2014,1397
2015,1276
2016,1418
